=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-3-2_18-3-42
====================================================================================
18:3:42 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
18:3:42 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
18:3:42 | [PermissionManager] Perm (MenuBansManager) has been registered!
18:3:42 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
18:3:42 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
18:3:42 | [PermissionManager] Perm (MenuWebHooks) has been registered!
18:3:42 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
18:3:42 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
18:3:42 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
18:3:42 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
18:3:42 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
18:3:42 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
18:3:42 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
18:3:42 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
18:3:42 | [PermissionManager] Adding Super Admin (76561198120369757)
18:3:42 | [PermissionManager] Adding Super Admin (76561198360290787)
18:3:42 | [PermissionManager] Loaded UserGroups.json
18:3:42 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
18:3:42 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
18:3:42 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
18:3:42 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
18:3:42 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
18:3:42 | Building Sets Loaded: 0
18:3:42 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
18:3:42 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
18:5:47 | Player "Barreto" (steamId=76561198360290787) connected to server!
18:8:24 | "Barreto" (steamid=76561198360290787) Spawned Item: (MBM_ApocalypticPAZ_Camo)
18:10:33 | "Barreto" (steamid=76561198360290787) Spawned Item: (Animal_ZombyDogA)
18:12:10 | "Barreto" (steamid=76561198360290787) healed player (steamid=76561198360290787)
18:12:11 | "Barreto" (steamid=76561198360290787) gave unlimited ammo to (steamid=76561198360290787)
18:13:13 | "Barreto" (steamid=76561198360290787) toggled freecam
18:13:18 | "Barreto" (steamid=76561198360290787) toggled freecam
18:13:26 | "Barreto" (steamid=76561198360290787) toggled freecam
18:13:51 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2847.518555, 215.751770, 5477.419434>)
18:13:57 | "Barreto" (steamid=76561198360290787) toggled freecam
18:14:41 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2712.554443, 206.816818, 5438.848145>)
18:14:41 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2697.486572, 206.801147, 5446.385742>)
18:14:43 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2680.362549, 206.539154, 5445.146973>)
18:14:48 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2671.905518, 205.913025, 5406.518066>)
18:14:49 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2669.438477, 205.814545, 5390.641113>)
18:14:51 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2669.353760, 205.509995, 5366.260254>)
18:15:1 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2627.482422, 201.070404, 5289.911133>)
